team.key,park.key,year.key,span.first,span.last,games,openings,attendance
IN1,STL02,1878,1878-07-09,1878-07-13,3,0,0
ML2,MIL01,1878,1878-05-14,1878-09-14,25,0,0
PRO,NYC01,1878,1878-07-26,1878-07-26,1,0,0
PRO,PRO02,1878,1878-05-01,1878-09-30,31,0,0
BFN,BUF01,1879,1879-05-01,1879-09-30,40,0,0
BSN,BOS01,1879,1879-05-28,1879-09-27,42,0,0
CHN,CHI03,1879,1879-05-01,1879-08-26,43,10,26700
CL2,CLE 2.00,1879,1879-05-01,1879-09-30,42,0,0
CN1,CIN02,1879,1879-05-01,1879-08-27,37,0,0
PRO,PRO02,1879,1879-05-28,1879-09-30,42,0,0
SR1,SYR01,1879,1879-05-28,1879-09-10,34,0,0
TRN,TRO02,1879,1879-05-28,1879-09-20,41,0,0
BFN,BUF01,1880,1880-05-07,1880-09-16,43,0,0
BSN,BOS01,1880,1880-05-04,1880-09-30,43,0,0
CHN,CHI03,1880,1880-05-07,1880-09-30,43,38,76150
CL2,CLE 2.00,1880,1880-05-01,1880-09-22,44,0,0
CN1,CIN03,1880,1880-05-01,1880-09-30,40,0,0
PRO,PRO02,1880,1880-05-01,1880-09-27,44,0,0
TRN,ALB01,1880,1880-09-11,1880-09-11,1,0,0
TRN,TRO01,1880,1880-05-18,1880-09-17,40,0,0
WOR,WOR01,1880,1880-05-01,1880-10-01,42,0,0
BFN,BUF01,1881,1881-05-05,1881-09-10,41,0,0
BSN,BOS01,1881,1881-05-03,1881-09-30,41,0,0
CHN,CHI03,1881,1881-04-30,1881-08-25,42,40,94800
CL2,CLE 2.00,1881,1881-05-06,1881-09-05,42,0,0
DTN,DET01,1881,1881-05-02,1881-09-09,42,0,0
PRO,PRO02,1881,1881-05-02,1881-09-30,43,0,0
TRN,ALB01,1881,1881-06-15,1881-09-10,2,0,0
TRN,TRO01,1881,1881-05-05,1881-09-30,41,0,0
WOR,WOR01,1881,1881-04-30,1881-09-30,42,0,0
BFN,BUF01,1882,1882-05-01,1882-09-26,39,0,0
BL2,BAL02,1882,1882-05-09,1882-09-30,33,0,0
BSN,BOS01,1882,1882-05-01,1882-09-30,43,0,0
CHN,CHI03,1882,1882-05-10,1882-09-30,45,43,138300
CL2,CLE 2.00,1882,1882-05-01,1882-09-30,42,0,0
CN2,CIN03,1882,1882-05-02,1882-09-28,42,0,0
DTN,DET01,1882,1882-05-15,1882-09-20,43,0,0
LS2,LOU02,1882,1882-05-05,1882-09-25,39,0,0
PH4,PHI03,1882,1882-05-02,1882-09-21,39,0,0
PRO,PRO02,1882,1882-05-01,1882-10-02,42,0,0
PT1,PIT02,1882,1882-05-10,1882-09-23,37,0,0
SL4,STL03,1882,1882-05-02,1882-10-01,44,0,0
TRN,ALB01,1882,1882-05-16,1882-05-30,4,0,0
TRN,WAT01,1882,1882-05-20,1882-08-26,38,0,0
WOR,WOR01,1882,1882-05-02,1882-09-29,42,0,0
BFN,BUF01,1883,1883-05-05,1883-09-08,49,0,0
BL2,BAL03,1883,1883-05-01,1883-09-06,49,0,0
BSN,BOS01,1883,1883-05-30,1883-09-29,49,0,0
CHN,CHI03,1883,1883-05-05,1883-09-08,49,44,122800
CL2,CLE 2.00,1883,1883-05-01,1883-08-22,49,0,0
CL5,COL01,1883,1883-05-01,1883-09-27,47,0,0
CN2,CIN03,1883,1883-05-01,1883-09-29,51,0,0
DTN,DET01,1883,1883-05-01,1883-09-03,51,0,0
LS2,LOU02,1883,1883-05-11,1883-09-30,47,0,0
NY1,NYC03,1883,1883-05-01,1883-09-29,49,0,0
NY4,NYC03,1883,1883-05-12,1883-09-06,34,0,0
NY4,NYC04,1883,1883-05-30,1883-09-04,13,0,0
PH4,PHI01,1883,1883-05-10,1883-09-07,51,0,0
PHI,PHI04,1883,1883-05-01,1883-09-29,50,0,0
PRO,PRO02,1883,1883-05-30,1883-09-29,49,0,0
PT1,PIT02,1883,1883-06-12,1883-09-06,32,0,0
PT1,PIT03,1883,1883-05-01,1883-06-09,17,0,0
SL4,STL03,1883,1883-05-15,1883-09-30,49,0,0
ALT,ALT01,1884,1884-04-30,1884-05-31,18,0,0
BFN,BUF02,1884,1884-05-21,1884-10-15,58,0,0
BL2,BAL03,1884,1884-05-01,1884-10-15,57,0,0
BLU,BAL04,1884,1884-04-17,1884-09-24,49,0,0
BLU,BAL05,1884,1884-08-25,1884-08-25,1,0,0
BR3,NYC05,1884,1884-05-05,1884-10-15,52,0,0
BSN,BOS01,1884,1884-05-01,1884-09-13,56,0,0
BSU,BOS02,1884,1884-04-30,1884-09-24,57,0,0
CHN,CHI03,1884,1884-05-29,1884-10-11,57,50,94100
CHU,BAL04,1884,1884-09-17,1884-09-17,1,0,0
CHU,CHI05,1884,1884-05-02,1884-08-01,35,0,0
CHU,PIT03,1884,1884-08-25,1884-08-30,5,0,0
CL2,CLE 2.00,1884,1884-05-21,1884-10-11,56,0,0
CL5,COL01,1884,1884-05-14,1884-09-22,55,0,0
CN2,CIN04,1884,1884-05-01,1884-09-22,56,0,0
CN2,NYC05,1884,1884-10-10,1884-10-10,1,0,0
CNU,CIN03,1884,1884-04-17,1884-10-15,52,0,0
DTN,DET01,1884,1884-06-02,1884-10-14,58,0,0
IN2,IND02,1884,1884-05-14,1884-09-20,44,0,0
IN2,IND03,1884,1884-05-18,1884-09-21,11,0,0
KCU,KAN01,1884,1884-06-07,1884-10-19,36,0,0
LS2,LOU02,1884,1884-05-01,1884-09-22,56,0,0
MLU,MIL02,1884,1884-09-27,1884-10-12,12,0,0
NY1,NYC03,1884,1884-05-01,1884-09-13,58,0,0
NY4,NYC03,1884,1884-07-17,1884-10-15,22,0,0
NY4,NYC06,1884,1884-05-13,1884-08-23,33,0,0
PH4,PHI01,1884,1884-05-09,1884-10-15,54,0,0
PHI,PHI04,1884,1884-05-01,1884-10-15,57,0,0
PHU,PHI05,1884,1884-04-17,1884-08-07,35,0,0
PRO,PRO02,1884,1884-05-01,1884-09-13,57,0,0
PT1,PIT04,1884,1884-05-01,1884-10-15,56,0,0
RIC,RIC02,1884,1884-08-05,1884-10-15,22,0,0
SL4,STL03,1884,1884-05-01,1884-09-23,55,0,0
SLU,STL04,1884,1884-04-20,1884-10-19,55,0,0
TL1,TOL01,1884,1884-05-14,1884-09-24,54,0,0
TL1,TOL02,1884,1884-09-13,1884-09-13,1,0,0
WIL,WIL01,1884,1884-09-02,1884-09-10,7,0,0
WS7,WAS04,1884,1884-05-01,1884-08-02,30,0,0
WSU,WAS03,1884,1884-04-18,1884-09-25,65,0,0
BFN,BUF02,1885,1885-05-08,1885-10-07,50,0,0
BFN,ELM01,1885,1885-10-10,1885-10-10,2,0,0
BFN,MIL02,1885,1885-09-04,1885-09-04,1,0,0
BL2,BAL03,1885,1885-04-20,1885-10-01,55,0,0
BR3,NYC05,1885,1885-04-24,1885-10-01,57,0,0
BSN,BOS01,1885,1885-05-11,1885-09-12,59,0,0
CHN,CHI06,1885,1885-06-06,1885-10-10,56,54,154677
CN2,CIN04,1885,1885-04-20,1885-08-30,56,0,0
DTN,DET01,1885,1885-05-01,1885-10-09,52,0,0
LS2,LOU02,1885,1885-04-19,1885-08-30,56,0,0
NY1,NYC03,1885,1885-05-02,1885-09-26,61,0,0
NY4,NYC03,1885,1885-04-24,1885-10-01,52,0,0
PH4,PHI01,1885,1885-04-18,1885-10-05,57,0,0
PHI,PHI04,1885,1885-05-02,1885-09-07,55,0,0
PRO,MIL02,1885,1885-09-25,1885-09-25,1,0,0
PRO,PRO02,1885,1885-05-11,1885-09-09,50,0,0
PT1,PIT04,1885,1885-04-28,1885-09-05,57,0,0
SL4,STL03,1885,1885-04-18,1885-09-06,55,0,0
SL5,IND02,1885,1885-09-15,1885-09-15,1,0,0
SL5,STL04,1885,1885-04-30,1885-10-09,57,0,0
BL2,BAL03,1886,1886-04-17,1886-09-23,67,3,6300
BR3,NYC05,1886,1886-04-22,1886-09-23,56,3,12000
BR3,NYC07,1886,1886-05-02,1886-09-19,14,3,17000
BSN,BOS01,1886,1886-05-28,1886-10-09,59,0,0
CHN,CHI06,1886,1886-05-06,1886-09-11,62,53,172600
CN2,CIN04,1886,1886-04-17,1886-10-10,71,2,13000
DTN,DET01,1886,1886-05-10,1886-09-23,62,1,5000
KCN,KAN02,1886,1886-04-30,1886-09-18,58,1,5000
LS2,LOU02,1886,1886-04-18,1886-10-10,69,1,10000
NY1,NYC03,1886,1886-04-29,1886-10-09,63,4,56000
NY4,SAI01,1886,1886-04-22,1886-09-23,65,2,10000
PH4,PHI01,1886,1886-04-17,1886-10-15,71,2,11000
PHI,PHI04,1886,1886-05-03,1886-10-09,62,2,9058
PT1,PIT04,1886,1886-05-01,1886-10-12,74,1,1000
SL4,STL03,1886,1886-04-18,1886-10-10,70,4,33000
SL5,STL04,1886,1886-04-29,1886-09-23,63,1,3500
WS8,WAS05,1886,1886-04-29,1886-10-11,66,4,6700
BL2,BAL03,1887,1887-04-16,1887-10-01,68,2,15500
BR3,NYC05,1887,1887-04-16,1887-10-06,59,4,36500
BR3,NYC18,1887,1887-04-24,1887-10-09,15,3,25000
BSN,BOS01,1887,1887-05-09,1887-09-10,60,4,41000
CHN,CHI06,1887,1887-05-06,1887-09-29,67,59,280150
CL3,CLE 3.00,1887,1887-05-04,1887-10-03,59,7,17200
CL3,CLE 9.00,1887,1887-08-21,1887-08-21,1,0,0
CN2,CIN04,1887,1887-04-16,1887-10-02,73,2,20000
DTN,DET01,1887,1887-05-05,1887-09-28,62,5,16700
IN3,IND04,1887,1887-04-28,1887-10-08,64,2,4200
LS2,LOU02,1887,1887-04-16,1887-10-09,69,3,12000
NY1,NYC03,1887,1887-04-28,1887-10-08,63,8,51525
NY4,NYC05,1887,1887-10-08,1887-10-08,1,0,0
NY4,SAI01,1887,1887-05-03,1887-10-10,60,2,4000
NY4,WEE01,1887,1887-09-11,1887-09-11,1,0,0
PH4,PHI01,1887,1887-04-21,1887-10-10,71,4,29500
PHI,PHI06,1887,1887-04-30,1887-10-07,64,2,26500
PIT,PIT04,1887,1887-04-30,1887-10-08,65,7,33500
SL4,STL03,1887,1887-04-22,1887-10-09,73,2,15000
WS8,WAS05,1887,1887-04-29,1887-10-08,62,4,8300
WS8,WOR02,1887,1887-08-17,1887-08-17,1,0,0
BL2,BAL03,1888,1888-04-20,1888-10-13,56,0,0
BR3,NYC05,1888,1888-04-18,1888-10-16,56,6,9200
BR3,NYC18,1888,1888-04-22,1888-10-14,20,0,0
BSN,BOS03,1888,1888-05-25,1888-10-13,68,1,15000
CHN,CHI06,1888,1888-05-01,1888-09-26,70,58,283642
CL3,CLE 3.00,1888,1888-05-02,1888-09-15,56,3,1500
CL3,GEA01,1888,1888-07-22,1888-08-26,3,0,0
CL3,NEW03,1888,1888-09-02,1888-09-02,1,0,0
CN2,CIN04,1888,1888-05-01,1888-10-14,82,4,17900
DTN,DET01,1888,1888-05-01,1888-09-22,68,2,14000
IN3,IND05,1888,1888-04-20,1888-09-22,66,3,8000
KC2,KAN02,1888,1888-04-18,1888-09-29,56,1,1000
KC2,KAN03,1888,1888-09-30,1888-09-30,1,0,0
LS2,LOU02,1888,1888-04-28,1888-10-14,60,1,1200
NY1,NYC03,1888,1888-04-25,1888-10-13,70,8,51900
PH4,GLO01,1888,1888-10-14,1888-10-14,1,0,0
PH4,GLO02,1888,1888-08-05,1888-08-26,2,0,0
PH4,PHI01,1888,1888-04-18,1888-10-17,72,1,2014
PHI,PHI06,1888,1888-04-20,1888-10-13,66,1,1200
PIT,PIT04,1888,1888-04-20,1888-09-27,70,4,13000
SL4,STL03,1888,1888-04-18,1888-10-11,82,1,8000
WS8,WAS05,1888,1888-04-20,1888-10-13,66,0,0
BL2,BAL06,1889,1889-04-18,1889-10-10,67,1,2108
BR3,NYC05,1889,1889-04-25,1889-05-04,8,0,0
BR3,NYC08,1889,1889-05-30,1889-10-05,49,7,57759
BR3,NYC18,1889,1889-05-05,1889-10-06,14,2,12684
BSN,BOS03,1889,1889-05-08,1889-09-18,68,1,10000
CHN,CHI06,1889,1889-05-08,1889-10-05,69,38,115050
CL4,CLE 3.00,1889,1889-05-03,1889-10-05,68,1,10000
CL6,COL02,1889,1889-04-28,1889-10-14,69,0,0
CN2,CIN04,1889,1889-04-17,1889-10-15,74,3,22000
IN3,IND05,1889,1889-04-24,1889-10-05,69,0,0
KC2,KAN03,1889,1889-04-25,1889-09-30,70,0,0
LS2,LOU02,1889,1889-04-17,1889-10-14,64,2,3000
NY1,JER01,1889,1889-04-24,1889-04-25,2,0,0
NY1,NYC09,1889,1889-07-08,1889-09-14,38,1,2000
NY1,SAI01,1889,1889-04-29,1889-06-14,23,2,5490
PH4,GLO01,1889,1889-04-21,1889-10-13,14,0,0
PH4,PHI01,1889,1889-04-18,1889-10-15,59,2,3078
PHI,PHI06,1889,1889-04-29,1889-09-21,68,0,0
PIT,PIT04,1889,1889-04-24,1889-10-05,70,0,0
SL4,STL03,1889,1889-04-25,1889-10-06,71,1,14000
WS8,WAS05,1889,1889-04-24,1889-09-21,56,0,0
BFP,BUF03,1890,1890-04-19,1890-10-04,65,4,2292
BL3,BAL06,1890,1890-08-27,1890-10-15,22,1,4192
BR4,MAS01,1890,1890-07-27,1890-08-03,2,0,0
BR4,NYC09,1890,1890-06-09,1890-08-02,8,0,0
BR4,NYC18,1890,1890-04-17,1890-06-08,28,3,6362
BRO,NYC08,1890,1890-04-28,1890-10-03,74,5,15061
BRP,NYC11,1890,1890-04-28,1890-09-12,66,7,8134
BSN,BOS03,1890,1890-04-19,1890-09-16,66,2,6691
BSP,BOS04,1890,1890-04-19,1890-09-10,73,6,28726
CHN,CHI06,1890,1890-04-29,1890-10-03,74,66,112944
CHP,CHI07,1890,1890-05-05,1890-10-04,70,9,41725
CIN,CIN04,1890,1890-04-19,1890-10-03,73,6,24264
CL4,CLE 3.00,1890,1890-04-25,1890-10-04,63,4,6150
CL4,DET01,1890,1890-09-23,1890-09-23,1,1,2000
CL4,IND06,1890,1890-07-28,1890-08-02,6,0,0
CL6,COL02,1890,1890-04-17,1890-10-13,71,1,4000
CLP,CLE 4.00,1890,1890-04-30,1890-10-04,62,9,13238
LS2,LOU02,1890,1890-04-18,1890-10-14,74,4,35269
NY1,NYC09,1890,1890-04-19,1890-09-13,66,5,10054
NYP,NYC10,1890,1890-04-19,1890-09-18,66,8,26684
PH4,GLO01,1890,1890-04-27,1890-10-12,13,0,0
PH4,PHI01,1890,1890-04-17,1890-10-11,59,1,11810
PHI,PHI06,1890,1890-04-29,1890-09-10,76,4,11166
PHP,PHI07,1890,1890-04-30,1890-09-17,65,6,33755
PIT,CAN02,1890,1890-09-18,1890-09-18,1,0,0
PIT,PIT04,1890,1890-04-19,1890-09-30,38,7,4275
PIT,WHE01,1890,1890-09-22,1890-09-22,1,0,0
PTP,PIT05,1890,1890-04-19,1890-10-04,65,8,28389
RC2,IRO01,1890,1890-05-11,1890-07-20,6,0,0
RC2,ROC01,1890,1890-04-28,1890-10-04,57,0,0
SL4,STL03,1890,1890-04-22,1890-10-10,72,1,6775
SR2,SYR02,1890,1890-04-28,1890-10-04,54,1,1165
SR2,SYR03,1890,1890-08-03,1890-08-03,1,0,0
SR2,THR01,1890,1890-05-18,1890-07-20,5,0,0
TL2,TOL03,1890,1890-05-01,1890-10-02,68,2,7800
BL3,BAL06,1891,1891-04-08,1891-05-09,14,1,5800
BL3,BAL07,1891,1891-05-11,1891-10-03,56,0,0
BRO,NYC11,1891,1891-04-27,1891-09-30,72,68,181919
BS2,BOS04,1891,1891-04-18,1891-10-03,70,1,5000
BSN,BOS03,1891,1891-04-27,1891-09-30,73,64,178980
CHN,CHI06,1891,1891-05-01,1891-10-02,31,30,66160
CHN,CHI07,1891,1891-05-05,1891-10-03,36,36,119089
CIN,CIN04,1891,1891-04-22,1891-09-23,67,66,89154
CL4,CLE 5.00,1891,1891-05-01,1891-10-03,69,68,118665
CL6,COL02,1891,1891-04-18,1891-09-22,62,1,1209
CN3,PEN 1.00,1891,1891-04-25,1891-08-13,45,1,4125
LS2,LOU02,1891,1891-04-08,1891-09-27,71,0,0
ML3,MIL03,1891,1891-09-10,1891-10-04,20,1,300
ML3,MIN01,1891,1891-10-02,1891-10-02,1,0,0
NY1,NYC10,1891,1891-04-22,1891-10-03,69,62,196303
PH4,PHI07,1891,1891-04-08,1891-10-05,72,1,2169
PHI,PHI06,1891,1891-04-22,1891-10-03,69,62,214178
PIT,PIT05,1891,1891-04-22,1891-09-30,66,63,124898
SL4,STL03,1891,1891-04-08,1891-10-04,74,3,7377
WS9,WAS06,1891,1891-04-13,1891-10-06,72,0,0
BLN,BAL07,1892,1892-04-12,1892-10-15,77,65,94750
BRO,NYC11,1892,1892-04-22,1892-10-11,78,73,188811
BSN,BOS03,1892,1892-04-21,1892-10-08,76,68,147465
CHN,CHI07,1892,1892-04-23,1892-10-06,67,67,120572
CIN,CIN04,1892,1892-04-12,1892-10-15,80,73,197487
CL4,CLE 5.00,1892,1892-04-21,1892-10-15,79,69,140810
LS3,LOU02,1892,1892-04-12,1892-10-09,70,63,135686
NY1,NYC10,1892,1892-04-23,1892-10-12,79,73,132211
PHI,PHI06,1892,1892-04-12,1892-10-15,79,72,193092
PHI,PIT05,1892,1892-06-30,1892-06-30,2,1,1835
PIT,PIT05,1892,1892-04-22,1892-10-12,89,78,184902
SLN,KAN03,1892,1892-08-23,1892-10-15,3,3,11321
SLN,STL03,1892,1892-04-12,1892-10-13,72,67,185652
WAS,WAS06,1892,1892-04-12,1892-10-15,70,62,124955
BLN,BAL07,1893,1893-04-29,1893-09-13,60,58,137316
BRO,NYC11,1893,1893-05-05,1893-09-09,67,61,223346
BSN,BOS03,1893,1893-05-15,1893-09-09,65,57,192092
CHN,CHI07,1893,1893-05-13,1893-05-24,8,8,12900
CHN,CHI08,1893,1893-05-14,1893-09-27,65,64,246611
CIN,CIN04,1893,1893-04-27,1893-09-29,66,60,191235
CL4,CLE 5.00,1893,1893-05-04,1893-09-30,70,62,133101
LS3,LOU02,1893,1893-05-04,1893-05-04,1,1,1206
LS3,LOU03,1893,1893-05-22,1893-09-29,52,47,83419
NY1,NYC10,1893,1893-04-28,1893-09-09,71,63,275092
PHI,PHI06,1893,1893-04-28,1893-09-04,66,63,295683
PIT,PIT05,1893,1893-04-27,1893-09-30,73,65,178480
SLN,STL05,1893,1893-04-27,1893-09-30,72,61,201701
WAS,WAS06,1893,1893-04-27,1893-08-31,49,45,89987
BLN,BAL07,1894,1894-04-19,1894-09-06,67,66,343977
BRO,NYC11,1894,1894-04-21,1894-09-06,69,62,212450
BSN,BOS03,1894,1894-04-19,1894-05-14,4,4,22700
BSN,BOS04,1894,1894-05-16,1894-06-20,27,27,57836
BSN,BOS05,1894,1894-07-20,1894-09-06,32,29,79788
CHN,CHI08,1894,1894-05-04,1894-09-30,68,68,261810
CIN,CIN05,1894,1894-04-20,1894-09-30,66,60,171987
CL4,CLE 5.00,1894,1894-05-03,1894-09-29,59,54,85197
LS3,LOU03,1894,1894-04-20,1894-09-30,62,58,92994
NY1,NYC10,1894,1894-04-28,1894-09-06,71,67,403680
PHI,PHI06,1894,1894-04-21,1894-08-04,43,41,270341
PHI,PHI08,1894,1894-08-11,1894-08-17,6,5,11950
PHI,PHI14,1894,1894-08-18,1894-09-06,22,18,79222
PIT,PIT05,1894,1894-05-03,1894-09-29,75,70,173034
SLN,STL05,1894,1894-04-19,1894-09-30,66,62,203272
WAS,WAS06,1894,1894-04-19,1894-09-06,62,59,138296
BLN,BAL07,1895,1895-04-18,1895-09-26,67,60,293432
BRO,NYC11,1895,1895-05-01,1895-09-25,67,64,239600
BSN,BOS05,1895,1895-04-19,1895-09-21,68,64,254300
CHN,CHI08,1895,1895-05-02,1895-09-29,67,67,403133
CIN,CIN05,1895,1895-04-18,1895-09-21,65,63,294745
CL4,CLE 5.00,1895,1895-05-01,1895-09-21,62,54,142300
LS3,LOU03,1895,1895-04-18,1895-09-29,59,56,93970
NY1,NYC10,1895,1895-04-18,1895-09-30,67,64,262850
PHI,PHI09,1895,1895-05-02,1895-09-30,73,68,471414
PIT,PIT05,1895,1895-05-01,1895-09-18,67,61,198972
SLN,STL05,1895,1895-04-18,1895-09-28,68,66,177100
WAS,WAS06,1895,1895-04-20,1895-09-30,69,59,146124
BLN,BAL07,1896,1896-04-16,1896-09-22,67,62,255655
BRO,NYC11,1896,1896-04-29,1896-09-22,65,61,204200
BSN,BOS05,1896,1896-04-20,1896-09-07,67,61,230708
CHN,CHI08,1896,1896-04-30,1896-08-13,68,68,308257
CIN,CIN05,1896,1896-04-16,1896-09-20,66,63,366419
CL4,CLE 5.00,1896,1896-05-02,1896-09-26,64,61,148000
LS3,LOU03,1896,1896-04-16,1896-09-15,64,61,144051
NY1,NYC10,1896,1896-04-21,1896-09-26,66,59,273200
PHI,PHI09,1896,1896-04-16,1896-09-26,69,65,361504
PIT,PIT05,1896,1896-04-21,1896-09-21,66,58,182500
SLN,STL05,1896,1896-04-16,1896-09-26,62,60,158010
WAS,WAS06,1896,1896-04-16,1896-09-26,68,61,241706
BLN,BAL07,1897,1897-04-22,1897-10-02,69,63,247162
BRO,NYC11,1897,1897-05-03,1897-10-02,70,64,221148
BSN,BOS05,1897,1897-04-19,1897-09-22,67,61,357879
CHN,CHI08,1897,1897-05-04,1897-09-19,67,67,334860
CIN,CIN05,1897,1897-04-22,1897-09-19,68,64,342700
